,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,Rent Frequnecy,Accommodation Types
908, الرياض,   حي الصحافة ,شمال شرقي,250,7,4,5,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,95000,Unkown,house
909, الخبر,   حي التحلية ,جنوب,300,0,5,5,3,1,1,0,1,0,0,0,0,1,0,1,0,0,0,75000,Unkown,house
910, الرياض,   حي الصحافة ,شرق,400,0,5,4,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,90000,Unkown,house
911, الخبر,   حي الحزام الاخضر ,جنوب شرقي,574,30,4,4,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,180000,Unkown,house
912, الخبر,   حي العليا ,شمال,325,14,4,5,2,1,0,1,1,0,1,0,0,1,0,1,1,0,0,65000,Unkown,house
913, الخبر,   حي الامواج ,غرب,437,0,7,5,2,0,1,0,1,0,0,1,0,1,0,1,1,0,1,60000,Unkown,house
914, الرياض,   حي الرمال ,غرب,300,0,4,5,2,1,1,0,1,0,1,1,0,1,0,0,0,0,0,550000,Unkown,house
915, الدمام,   حي المنار ,شمال,350,0,7,5,3,1,1,1,1,0,0,0,0,1,0,0,1,0,0,100000,Unkown,house
916, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,Unkown,house
917, الدمام,   حي طيبة ,شمال غربي,450,4,7,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,1,55000,Unkown,floor
918, جدة,   حي المحمدية ,جنوب,380,8,4,4,3,1,0,1,1,0,1,1,0,1,0,1,1,0,1,80000,Unkown,house
919, الرياض,   حي الخزامى ,جنوب,400,0,5,5,2,1,1,1,1,0,1,1,1,1,1,0,1,0,0,330000,Unkown,Unkown
920, الدمام,   حي المنار ,جنوب,200,0,7,5,2,1,1,0,1,1,1,1,0,1,0,1,1,0,0,60000,Monthly,house
921, الدمام,   حي ضاحية الملك فهد ,شمال,370,0,5,5,2,1,1,0,0,0,0,0,0,1,0,1,1,0,0,35000,Unkown,floor
922, جدة,   حي البساتين ,شرق,650,20,7,5,2,1,1,1,1,0,1,1,0,0,0,0,1,0,0,120000,Unkown,house
923, الرياض,   حي النرجس ,غرب,300,0,5,5,3,1,1,0,1,0,1,1,0,1,0,0,1,0,0,70000,Unkown,house
924, جدة,   حي البساتين ,شرق,650,20,7,5,2,1,1,1,1,0,1,1,0,0,0,0,1,0,0,120000,Unkown,house
925, الدمام,   حي ضاحية الملك فهد ,شمال,250,5,5,5,3,1,1,0,1,0,1,1,0,1,0,0,1,0,0,36000,Unkown,house
926, الخبر,   حي التحلية ,شرق,330,0,4,5,4,1,1,1,1,0,1,1,0,1,0,0,0,0,0,80000,Unkown,house
927, الرياض,   حي الشهداء ,شرق,300,15,7,5,2,0,1,1,1,0,0,0,0,1,0,1,1,0,0,50000,Unkown,house
928, الرياض,   حي الرمال ,شمال,300,3,3,5,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,40000,Unkown,Unkown
929, الخبر,   حي الحزام الاخضر ,جنوب شرقي,574,30,4,4,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,180000,Unkown,house
930, الدمام,   حي طيبة ,شمال غربي,450,4,7,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,1,55000,Unkown,floor
931, الخبر,   حي المدينة الرياضية ,جنوب غربي,200,7,5,4,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,43000,Unkown,apartment
932, الخبر,   حي الثقبة ,غرب,325,20,4,5,3,1,1,0,1,0,1,1,0,1,0,0,1,0,1,85000,Unkown,house
933, الرياض,   حي الربوة ,غرب,200,7,3,5,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0,100000,Unkown,Unkown
934, الدمام,   حي الخالدية الشمالية ,شرق,400,5,7,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,1,70000,Unkown,house
935, الرياض,   حي الخزامى ,شمال,400,0,5,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,140000,Unkown,apartment
936, الخبر,   حي الصواري ,شرق,450,0,5,5,2,1,1,0,1,0,1,0,0,0,0,1,1,0,0,80000,Unkown,house
937, الخبر,   حي الحزام الاخضر ,جنوب,400,4,4,5,2,1,1,1,1,0,1,1,0,0,0,1,1,0,0,140000,Unkown,floor
938, جدة,   حي المحمدية ,شرق,375,9,5,5,2,1,0,1,1,0,0,1,1,1,0,0,1,0,0,100000,Unkown,house
939, الخبر,   حي الصواري ,جنوب,400,0,5,5,3,0,1,0,1,0,1,1,0,1,0,1,1,0,0,55000,Unkown,house
940, الرياض,   حي الرمال ,غرب,222,0,7,5,2,1,1,0,0,0,0,0,0,1,0,1,1,0,1,60000,Monthly,apartment
941, الرياض,   حي الملقا ,4 شوارع,300,2,4,4,2,1,1,1,1,1,1,0,1,1,0,0,1,0,0,140000,Unkown,house
942, جدة,   حي النعيم ,غرب,375,9,4,5,2,1,1,1,1,0,1,1,0,1,0,1,1,0,0,80000,Unkown,house
943, الرياض,   حي الروضة ,شمال شرقي,880,18,7,5,3,1,1,1,1,0,1,1,0,1,0,0,1,0,1,120000,Unkown,house
944, الدمام,   حي الجوهرة ,شمال,250,6,5,3,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,38000,Unkown,house
945, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,Unkown,house
946, الخبر,   حي العليا ,شمال,325,14,4,5,2,1,0,1,1,0,1,0,0,1,0,1,1,0,0,65000,Unkown,house
947, الرياض,   حي الملقا ,جنوب,375,2,5,5,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,130000,Unkown,house
948, الخبر,   حي الامواج ,غرب,437,0,7,5,2,0,1,0,1,0,0,1,0,1,0,1,1,0,1,60000,Unkown,house
949, الخبر,   حي الصواري ,شمال,312,0,5,5,3,0,0,0,0,0,0,1,0,1,0,1,1,0,0,45000,Unkown,house
950, الخبر,   حي الصواري ,شمال غربي,385,0,3,3,3,1,1,0,0,0,0,0,0,1,0,0,1,0,0,45000,Unkown,house
951, الرياض,   حي حطين ,شمال,155,0,3,5,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,180000,Unkown,house
952, جدة,   حي الشاطئ ,شمال شرقي,300,2,3,4,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,150000,Monthly,house
953, الخبر,   حي الصواري ,جنوب,400,0,5,5,3,0,1,0,1,0,1,1,0,1,0,1,1,0,0,55000,Unkown,house
954, الخبر,   حي العليا ,شمال,325,14,4,5,2,1,0,1,1,0,1,0,0,1,0,1,1,0,0,65000,Unkown,house
955, جدة,   حي الشاطئ ,4 شوارع,180,4,3,4,2,1,1,0,1,1,1,1,1,1,0,1,1,0,0,150000,Unkown,Unkown
956, الخبر,   حي الصواري ,شمال,312,0,5,5,3,0,0,0,0,0,0,1,0,1,0,1,1,0,0,45000,Unkown,house
957, الخبر,   حي العليا ,شمال,325,14,4,5,2,1,0,1,1,0,1,0,0,1,0,1,1,0,0,65000,Unkown,house
958, جدة,   حي المحمدية ,شرق,345,13,4,5,2,1,1,1,1,0,1,1,0,1,0,1,1,0,0,80000,Unkown,house
959, الخبر,   حي العليا ,شمال,325,14,4,5,2,1,0,1,1,0,1,0,0,1,0,1,1,0,0,65000,Unkown,house
960, الخبر,   حي الامواج ,غرب,437,0,7,5,2,0,1,0,1,0,0,1,0,1,0,1,1,0,1,60000,Unkown,house
